Job,StartDate,EndDate,Duration
j001,86,109,23
j002,47,58,11
j003,47,72,25
j004,8,31,23
j005,50,73,23
j006,10,23,13
j007,90,100,10
j008,80,92,12
j009,16,39,23
j010,70,94,24
j011,29,37,8
j012,70,81,11
j013,49,76,27
j014,29,44,15
j015,17,26,9
j016,67,92,25
j017,70,89,19
j018,26,42,16
j019,57,67,10
j020,35,54,19
j021,34,43,9
j022,86,102,16
j023,66,84,18
j024,12,29,17
j025,64,74,10
j026,18,26,8
j027,14,37,23
j028,67,81,14
j029,49,56,7
j030,18,29,11
j031,48,60,12
j032,11,37,26
j033,80,107,27
j034,15,32,17
j035,52,64,12
j036,56,66,10
j037,19,47,28
j038,53,78,25
j039,2,24,22
j040,21,42,21
j041,1,20,19
j042,20,43,23
j043,22,34,12
j044,37,44,7
j045,82,91,9
j046,34,52,18
j047,54,64,10
j048,45,62,17
j049,38,58,20
j050,34,44,10
j051,29,38,9
j052,26,36,10
j053,28,46,18
j054,68,82,14
j055,70,82,12
j056,40,61,21
j057,41,53,12
j058,75,100,25
j059,26,36,10
j060,29,47,18
j061,48,73,25
j062,73,83,10
j063,3,20,17
j064,79,99,20
j065,25,41,16
j066,35,46,11
j067,76,88,12
j068,26,35,9
j069,12,25,13
j070,74,83,9
j071,32,58,26
j072,7,19,12
j073,33,48,15
j074,33,41,8
j075,36,47,11
j076,29,43,14
j077,72,96,24
j078,89,108,19
j079,26,45,19
j080,85,113,28
j081,55,66,11
j082,60,80,20
j083,84,97,13
j084,41,51,10
j085,40,63,23
j086,80,99,19
j087,79,103,24
j088,27,40,13
j089,23,37,14
j090,69,83,14
j091,46,67,21
j092,68,77,9
j093,60,76,16
j094,15,40,25
j095,87,103,16
j096,17,35,18
j097,6,29,23
j098,56,78,22
j099,26,48,22
j100,38,51,13
